cpv_code,name,description
44100000,Građevinski materijali i pripadajući proizvodi,Construction materials and associated items
50421000,Usluge popravke i održavanja medicinske opreme,Repair and maintenance services of medical equipment
33793000,Proizvodi od stakla za laboratorijske namene,Laboratory glassware
24310000,Osnovne neorganske hemikalije,Basic inorganic chemicals
63516000,Usluge organizacije putovanja,Travel management services
45454000,Radovi na rekonstrukciji,Restructuring work
50720000,Usluge popravke i održavanja centralnog grejanja,Repair and maintenance services of central heating
55520000,Usluge dostavljanja pripremljenih  obroka,Catering services
60120000,Taksi usluge,Taxi services
30213100,Prenosivi računari,Portable computers
66512210,Usluge dobrovoljnog zdravstvenog osiguranja,Voluntary health insurance services
50531300,Usluge popravke i održavanja kompresora,Repair and maintenance services of compressors
39800000,Proizvodi za čišćenje i poliranje,Cleaning and polishing products
45260000,Radovi na krovu i drugi posebni građevinski zanatski radovi,Roof works and other special trade construction works
32510000,Sistemi za bežičnu telekomunikaciju,Wireless telecommunications system
42124000,"Delovi pumpi, kompresora, mašina ili motora","Parts of pumps, compressors, engines or motors"
22462000,Reklamni materijal,Advertising material
09310000,Električna energija,Electricity
50730000,Usluge popravke i održavanja rashladnih grupa,Repair and maintenance services of cooler groups
43830000,Električni alati,Power tools
03221270,Krastavac,Cucumbers
44617000,Kutije,Boxes
50000000,Usluge održavanja i popravki,Repair and maintenance services
50116000,Usluge popravke i održavanja za određene delove vozila,Maintenance and repair services related to specific parts of vehicles
71242000,"Izrada projekata i nacrta, procena troškova","Project and design preparation, estimation of costs"
45111230,Radovi na stabilizaciji terena,Ground-stabilisation work
30192000,Kancelarijski materijal,Office supplies
50324100,Usluge održavanja sistema,System maintenance services
37442300,Sprave za vežbe donjeg i gornjeg dela torza,Lower and upper body resistance machines
50800000,Razne usluge popravke i održavanja,Miscellaneous repair and maintenance services
45432130,Postavljanje podnih obloga,Floor-covering work
30125110,Toner za laserske štampače i telefaks mašine,Toner for laser printers/fax machines
24311900,Hlor,Chlorine
50411000,Usluge popravke i održavanja mernih aparata,Repair and maintenance services of measuring apparatus
50114000,Usluge popravke i održavanja teretnih vozila,Repair and maintenance services of trucks
